Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.167500,-81.325000,0.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.500000,-97.500000,-90.000000,bottom
"C3","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-98.000000,0.000000,bottom
"C4","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.605000,-95.325000,0.000000,bottom
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.000000,-26.500000,-90.000000,bottom
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.500000,-32.500000,-90.000000,bottom
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.000000,-36.000000,0.000000,bottom
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.037500,-27.000000,180.000000,bottom
"C_GND1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.925000,-108.000000,180.000000,bottom
"C_GND2","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.425000,-108.000000,180.000000,bottom
"C_GND3","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",24.425000,-108.000000,180.000000,bottom
"C_GND4","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.425000,-108.000000,180.000000,bottom
"C_GND5","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.425000,-108.000000,180.000000,bottom
"D1","D","D_1210_3225Metric_Pad1.42x2.65mm_HandSolder",88.491500,-102.765000,180.000000,bottom
"R1","125","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.500000,-92.000000,180.000000,bottom
"R2","205","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.500000,-92.000000,180.000000,bottom
"R3","125","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",76.905000,-81.325000,180.000000,bottom
"R4","370","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.605000,-81.325000,180.000000,bottom
"R7","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.000000,-39.000000,90.000000,bottom
"R9","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.000000,-39.000000,90.000000,bottom
"R10","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.500000,-31.500000,0.000000,bottom
"R11","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.500000,-33.500000,0.000000,bottom
"R12","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-25.500000,0.000000,bottom
"R13","10 ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-27.500000,0.000000,bottom
"R14","4.7k	","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",96.000000,-87.000000,180.000000,bottom
"R15","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",95.950000,-91.000000,180.000000,bottom
"R_DEN1","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",23.500000,-90.000000,-90.000000,bottom
"R_DEN2","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.500000,-90.000000,-90.000000,bottom
"R_DEN3","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.500000,-90.000000,-90.000000,bottom
"R_DEN4","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.425000,-90.000000,-90.000000,bottom
"R_DEN5","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.500000,-90.000000,-90.000000,bottom
"R_IN1","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.500000,-90.000000,-90.000000,bottom
"R_IN2","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.500000,-90.000000,-90.000000,bottom
"R_IN3","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.575000,-90.000000,-90.000000,bottom
"R_IN4","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.500000,-90.000000,-90.000000,bottom
"R_IN5","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.575000,-90.000000,-90.000000,bottom
"U1","AZ1117-ADJ","SOT-223-3_TabPin2",103.500000,-99.500000,180.000000,bottom
"U2","AZ1117-ADJ","SOT-223-3_TabPin2",77.905000,-89.475000,-90.000000,bottom
"U3","TJA1051T-3","SOIC-8_3.9x4.9mm_P1.27mm",77.905000,-103.975000,-90.000000,bottom
"U4","ESP32-S3-MINI-1U","ESP32-S2-MINI-1U",60.100000,-80.000000,180.000000,bottom
"U5","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",60.000000,-94.500000,0.000000,bottom
"U6","BTS7006","Infineon_PG-TSDSO-14-22",11.425000,-101.500000,-90.000000,bottom
"U7","BTS7006","Infineon_PG-TSDSO-14-22",19.000000,-101.500000,-90.000000,bottom
"U8","BTS7006","Infineon_PG-TSDSO-14-22",26.500000,-101.500000,-90.000000,bottom
"U9","BTS7006","Infineon_PG-TSDSO-14-22",34.000000,-101.500000,-90.000000,bottom
"U10","BTS7006","Infineon_PG-TSDSO-14-22",41.425000,-101.500000,-90.000000,bottom
"U11","INA3221","Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",47.000000,-31.500000,-90.000000,bottom
