"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J9";"TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal";1;"water_sensor_conn";;;
2;"U12";"2_water_sensor_rods";1;"~";;;
3;"J7";"Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm";1;"Conn_01x02";;;
4;"R6";"MSRSF_shunt_resistor";1;"0.003 Ohm 10W";;;
5;"J5";"half_busbar-15mm";1;"12V_BusBar";;;
6;"F4,F1,F2";"ATO_fuse_holder";3;"20A";;;
7;"R5,R8";"MSRSF_shunt_resistor";2;"0.001 Ohm 10W";;;
8;"J11";"water_sensor_rods";1;"~";;;
9;"J4";"3p_terminal";1;"Chargers_Conn";;;
10;"J3";"TerminalBlock_bornier-5_P5.08mm";1;"Conn 12V Out 5ch";;;
11;"J2";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Conn_01x02";;;
12;"J6";"half_busbar-15mm";1;"GND_Busbar";;;
13;"Battery1,Inverter1";"high_current_pad";2;"~";;;
14;"R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4.7k";;;
15;"R12,R10,R13,R11,R7,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10 ohm";;;
16;"U4";"ESP32-S2-MINI-1U";1;"ESP32-S3-MINI-1U";;;
17;"R_DEN4,R_DEN3,R_IN1,R_DEN5,R_IN3,R_DEN1,R_IN2,R_IN5,R_IN4,R_DEN2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"4.7k";;;
18;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TJA1051T-3";;;
19;"C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
20;"U2,U1";"SOT-223-3_TabPin2";2;"AZ1117-ADJ";;;
21;"J1";"PinHeader_1x02_P1.00mm_Vertical";1;"GND NetTie";;;
22;"U5";"SSOP-24_5.3x8.2mm_P0.65mm";1;"CD74HC4067SM";;;
23;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"125";;;
24;"U8,U9,U10,U7,U6";"Infineon_PG-TSDSO-14-22";5;"BTS7006";;;
25;"C_GND1,C_GND5,C_GND2,C_GND4,C_GND3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"10nF";;;
26;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"205";;;
27;"C6,C7,C8,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
28;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
29;"R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"4.7k	";;;
30;"D1";"D_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"D";;;
31;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"370";;;
32;"U11";"Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm";1;"INA3221";;;
