Designator,Mid X,Mid Y,Rotation,Layer
C1,153.205112,-23.75,180.0,top
C10_2,47.5,-59.5,270.0,bottom
C10,68.9625,-58.0,0.0,bottom
C11,64.5,-81.0,0.0,bottom
C12,69.5,-89.0,180.0,bottom
C13,152.75,-79.25,180.0,top
C14,152.7,-91.25,180.0,bottom
C15,75.5,-73.0,180.0,bottom
C16,81.25,-85.0,0.0,top
C17,34.55,-202.99,0.0,top
C18,34.55,-206.0,0.0,top
C19,34.55,-209.01,0.0,top
C2,130.5,-15.5,90.0,bottom
C20,34.55,-212.02,0.0,top
C21,34.55,-215.03,0.0,top
C22,63.13,-201.4,0.0,top
C23,62.63,-207.9,0.0,top
C24,63.13,-215.9,0.0,top
C25,69.55,-84.0,0.0,bottom
C26,75.044888,-85.0,0.0,top
C27,69.55,-86.5,0.0,bottom
C28,23.5,-76.955113,90.0,top
C29,47.5,-77.25,90.0,top
C3,141.75,-79.25,180.0,top
C30,31.0,-76.955113,90.0,top
C31,16.5,-76.955112,90.0,top
C32,39.0,-77.25,90.0,top
C33,95.25,-89.5,0.0,top
C4,142.5,-91.0,180.0,bottom
C5,11.3375,-32.6625,270.0,bottom
C6,11.3375,-37.4125,270.0,bottom
C7,11.3375,-41.9125,270.0,bottom
C8,17.8375,-41.1625,0.0,bottom
C9,173.5,-64.05,90.0,bottom
D1,179.5,-15.5,180.0,top
D10,26.27,-209.89,0.0,top
D11,26.27,-214.99,0.0,top
D12,105.475,-56.915,270.0,bottom
D13,179.5,-26.0,180.0,top
D14,179.5,-20.75,180.0,top
D15,55.5,-84.0,0.0,bottom
D16,54.13,-213.15,270.0,top
D17,5.63,-225.65,0.0,top
D18,57.13,-223.9,270.0,top
D19,44.49,-224.54,270.0,top
D2,183.35,-76.0,180.0,bottom
D20,31.88,-224.65,270.0,top
D21,18.38,-225.9,0.0,top
D3,7.13,-201.396667,0.0,top
D4,7.13,-206.9,0.0,top
D5,7.13,-212.403333,0.0,top
D6,7.13,-217.906667,0.0,top
D7,45.38,-213.4,270.0,top
D8,26.27,-199.69,0.0,top
D9,26.27,-204.79,0.0,top
F1,93.0,-26.1,90.0,top
F2,102.5,-26.1,90.0,top
F3,64.5,-26.1,90.0,top
F4,83.5,-26.1,90.0,top
F5,74.0,-26.1,90.0,top
F6,112.0,-26.1,90.0,top
FB1,165.0,-55.5,0.0,top
GND_CONN1,185.0,-50.0,0.0,top
J1,142.495,-95.985,0.0,top
J10,128.555,-95.985,0.0,top
J11,133.0,-209.5,0.0,top
J12,112.272724,-5.5,0.0,top
J13,124.745,-86.835,0.0,top
J14,126.068178,-5.5,0.0,top
J15,29.5,-5.5,0.0,top
J16,51.5,-96.0,0.0,bottom
